Year,GDP
2023,3567551674623.01
2022,3353470496886.33
2021,3167270623260.47
2020,2674851578587.27
2019,2835606256558.19
2018,2702929641648.74
2017,2651474262755.45
2016,2294796885663.16
2015,2103588360044.94
2014,2039126479154.52
2013,1856721507621.58
2012,1827637590410.41
2011,1823051829894.55
2010,1675615519484.96
2009,1341888016994.9
2008,1198895139005.92
2007,1216736438834.96
2006,940259888787.72
2005,820383763511.44
2004,709152728830.78
2003,607700687237.32
2002,514939140318.76
2001,485440139204.17
2000,468395521654.46
1999,458821052615.79
1998,421351317224.94
1997,415867563592.83
1996,392896866204.52
1995,360281909643.49
1994,327274843459.43
1993,279295648982.53
1992,288208070278.01
1991,270105341879.23
1990,320979026420.03
1989,296042052944.66
1988,296589670895.93
1987,279033584092.22
1986,248985994040.59
1985,232511554840.37
1984,212157645177.65
1983,218262146413.16
1982,200715624830.9
1981,193491368445.57
1980,186328579302.07
1979,152995442497.71
1978,137302319828.99
1977,121486641441.31
1976,102716451979.68
1975,98473832017.32
