Year,Inflation_Rate
2024,4.95
2023,5.65
2022,6.7
2021,5.13
2020,6.62
2019,3.73
2018,3.94
2017,3.33
2016,4.95
2015,4.91
2014,6.67
2013,10.02
2012,9.48
2011,8.91
2010,11.99
2009,10.88
2008,8.35
2007,6.37
2006,5.8
2005,4.25
2004,3.77
2003,3.81
2002,4.3
2001,3.78
2000,4.01
1999,4.67
1998,13.23
1997,7.16
1996,8.98
1995,10.22
1994,10.25
1993,6.33
1992,11.79
1991,13.87
1990,8.97
1989,7.07
1988,9.38
1987,8.8
1986,8.73
1985,5.56
1984,8.32
1983,11.87
1982,7.89
1981,13.11
1980,11.35
1979,6.28
1978,2.52
1977,8.31
1976,-7.63
1975,5.75
