Date,Predicted_Price
2025-03-07,22201.709056622483
2025-03-10,22269.792787131755
2025-03-11,22320.71067509444
2025-03-12,22364.33568170221
2025-03-13,22470.97907610712
2025-03-17,22413.939150165417
2025-03-18,22479.700623244047
2025-03-19,22757.43488264084
2025-03-20,22901.330874621868
2025-03-21,23146.929025888443
2025-03-24,23335.07498908043
2025-03-25,23621.968071460724
2025-03-26,23688.316824436188
2025-03-27,23531.16934609413
2025-03-28,23577.42643737793
2025-04-01,23542.61041378975
2025-04-02,23238.92145651416
2025-04-03,23300.97351659811
2025-04-04,23270.552194797667
2025-04-07,22974.046701692743
2025-04-08,22329.24703200161
2025-04-09,22426.36680957608
2025-04-11,22407.790289087803
2025-04-15,22726.00844125985
2025-04-16,23235.66264385101
2025-04-17,23440.35161674372
2025-04-21,23801.259687304497
2025-04-22,24102.25444276724
2025-04-23,24178.573316788767
2025-04-24,24317.025257048896
2025-04-25,24271.509136900077
2025-04-25,24271.509136900073
